Competition,Week,Game Start Time,Division,Court,Team 1,Team 2,Duty Team,Game End Time,Event Title,Start Date,End Date,Google Calendar URL
SML4,1,5:00 pm,B2,3,Jerrys Goons,Spike Wazowski,Step-Libro,6:00 pm,Jerrys Goons vs. Spike Wazowski (Duty: Step-Libro),20250503T170000,20250503T180000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Jerrys Goons vs. Spike Wazowski (Duty: Step-Libro)&dates=20250503T170000/20250503T180000
SML4,1,6:00 pm,B2,0,Plant the Spike,Vertically Challenged B,Jerrys Goons,7:00 pm,Plant the Spike vs. Vertically Challenged B (Duty: Jerrys Goons),20250503T180000,20250503T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Plant the Spike vs. Vertically Challenged B (Duty: Jerrys Goons)&dates=20250503T180000/20250503T190000
SML4,1,6:00 pm,C,1,Soft Serve,Selective Supremacy,Nathan's Angels,7:00 pm,Soft Serve vs. Selective Supremacy (Duty: Nathan's Angels),20250503T180000,20250503T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Soft Serve vs. Selective Supremacy (Duty: Nathan's Angels)&dates=20250503T180000/20250503T190000
SCL,1,6:00 pm,Challenger League,2,Big Diggers,Xiangxia Challengers,Chicken Jockey,7:00 pm,Big Diggers vs. Xiangxia Challengers (Duty: Chicken Jockey),20250503T180000,20250503T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Big Diggers vs. Xiangxia Challengers (Duty: Chicken Jockey)&dates=20250503T180000/20250503T190000
SML4,1,6:00 pm,B2,3,VolleyBawlers,Step-Libro,Spike Wazowski,7:00 pm,VolleyBawlers vs. Step-Libro (Duty: Spike Wazowski),20250503T180000,20250503T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=VolleyBawlers vs. Step-Libro (Duty: Spike Wazowski)&dates=20250503T180000/20250503T190000
SML4,1,7:00 pm,B1,0,Froggers,Team Name,Norths,8:00 pm,Froggers vs. Team Name (Duty: Norths),20250503T190000,20250503T200000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Froggers vs. Team Name (Duty: Norths)&dates=20250503T190000/20250503T200000
SML4,1,7:00 pm,C,1,Vertically Challenged C,Nathan's Angels,Soft Serve,8:00 pm,Vertically Challenged C vs. Nathan's Angels (Duty: Soft Serve),20250503T190000,20250503T200000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Vertically Challenged C vs. Nathan's Angels (Duty: Soft Serve)&dates=20250503T190000/20250503T200000
SCL,1,8:00 pm,Challenger League,2,Backpain Spikers,Chicken Jockey,Big Diggers,9:00 pm,Backpain Spikers vs. Chicken Jockey (Duty: Big Diggers),20250503T200000,20250503T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Backpain Spikers vs. Chicken Jockey (Duty: Big Diggers)&dates=20250503T200000/20250503T210000
SCL,1,8:00 pm,Challenger League,3,Harder Spikes United,Bossleybears Dev,Xiangxia Challengers,9:00 pm,Harder Spikes United vs. Bossleybears Dev (Duty: Xiangxia Challengers),20250503T200000,20250503T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Harder Spikes United vs. Bossleybears Dev (Duty: Xiangxia Challengers)&dates=20250503T200000/20250503T210000
SML4,1,8:00 pm,B1,0,Pancakes,Mr Zengs Lanzhou Volleyball,Froggers,9:00 pm,Pancakes vs. Mr Zengs Lanzhou Volleyball (Duty: Froggers),20250503T200000,20250503T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Pancakes vs. Mr Zengs Lanzhou Volleyball (Duty: Froggers)&dates=20250503T200000/20250503T210000
