Competition,Week,Game Start Time,Division,Court,Team 1,Team 2,Duty Team,Game End Time,Event Title,Start Date,End Date,Google Calendar URL
SCL,1,6:00 pm,Challenger League,2,Big Diggers,Xiangxia Challengers,Chicken Jockey,7:00 pm,Big Diggers vs. Xiangxia Challengers (Duty: Chicken Jockey),20250503T180000,20250503T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Big Diggers vs. Xiangxia Challengers (Duty: Chicken Jockey)&dates=20250503T180000/20250503T190000
SCL,1,8:00 pm,Challenger League,2,Backpain Spikers,Chicken Jockey,Big Diggers,9:00 pm,Backpain Spikers vs. Chicken Jockey (Duty: Big Diggers),20250503T200000,20250503T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Backpain Spikers vs. Chicken Jockey (Duty: Big Diggers)&dates=20250503T200000/20250503T210000
SCL,1,8:00 pm,Challenger League,3,Harder Spikes United,Bossleybears Dev,Xiangxia Challengers,9:00 pm,Harder Spikes United vs. Bossleybears Dev (Duty: Xiangxia Challengers),20250503T200000,20250503T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Harder Spikes United vs. Bossleybears Dev (Duty: Xiangxia Challengers)&dates=20250503T200000/20250503T210000
SCL,2,6:00 pm,Challenger League,2,Xiangxia Challengers,Chicken Jockey,Harder Spikes United,7:00 pm,Xiangxia Challengers vs. Chicken Jockey (Duty: Harder Spikes United),20250510T180000,20250510T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Xiangxia Challengers vs. Chicken Jockey (Duty: Harder Spikes United)&dates=20250510T180000/20250510T190000
SCL,2,8:00 pm,Challenger League,2,Backpain Spikers,Harder Spikes United,Chicken Jockey,9:00 pm,Backpain Spikers vs. Harder Spikes United (Duty: Chicken Jockey),20250510T200000,20250510T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Backpain Spikers vs. Harder Spikes United (Duty: Chicken Jockey)&dates=20250510T200000/20250510T210000
SCL,2,8:00 pm,Challenger League,3,Bossleybears Dev,Big Diggers,Xiangxia Challengers,9:00 pm,Bossleybears Dev vs. Big Diggers (Duty: Xiangxia Challengers),20250510T200000,20250510T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Bossleybears Dev vs. Big Diggers (Duty: Xiangxia Challengers)&dates=20250510T200000/20250510T210000
SCL,3,6:00 pm,Challenger League,2,Backpain Spikers,Bossleybears Dev,Big Diggers,7:00 pm,Backpain Spikers vs. Bossleybears Dev (Duty: Big Diggers),20250517T180000,20250517T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Backpain Spikers vs. Bossleybears Dev (Duty: Big Diggers)&dates=20250517T180000/20250517T190000
SCL,3,8:00 pm,Challenger League,2,Chicken Jockey,Big Diggers,Bossleybears Dev,9:00 pm,Chicken Jockey vs. Big Diggers (Duty: Bossleybears Dev),20250517T200000,20250517T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Chicken Jockey vs. Big Diggers (Duty: Bossleybears Dev)&dates=20250517T200000/20250517T210000
SCL,3,8:00 pm,Challenger League,3,Harder Spikes United,Xiangxia Challengers,Backpain Spikers,9:00 pm,Harder Spikes United vs. Xiangxia Challengers (Duty: Backpain Spikers),20250517T200000,20250517T210000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Harder Spikes United vs. Xiangxia Challengers (Duty: Backpain Spikers)&dates=20250517T200000/20250517T210000
SCL,4,6:00 pm,Challenger League,2,Xiangxia Challengers,Bossleybears Dev,Backpain Spikers,7:00 pm,Xiangxia Challengers vs. Bossleybears Dev (Duty: Backpain Spikers),20250524T180000,20250524T190000,https://calendar.google.com/calendar/u/0/r/eventedit?location=9+Grand+Ave+Camellia+NSW+2142+Australia&text=Xiangxia Challengers vs. Bossleybears Dev (Duty: Backpain Spikers)&dates=20250524T180000/20250524T190000
